Strategy,Popsize,Mutation,Nit,X0,X1,Estimated
best1bin,10,1.0,35,0.0,0.0,10#1.0
best1bin,10,0.9,122,0.0,0.0,10#0.9
best1bin,10,0.8,104,0.0,0.0,10#0.8
best1bin,10,0.7,97,0.0,0.0,10#0.7
best1bin,10,0.6,78,0.0,0.0,10#0.6
best1bin,10,0.5,63,0.0,0.0,10#0.5
best1bin,10,0.4,47,0.0,-0.0,10#0.4
best1bin,10,0.3,36,0.0,0.0,10#0.3
best1bin,10,0.2,28,0.0,-0.0,10#0.2
best1bin,10,0.1,13,-0.0,-0.0,10#0.1
best1bin,10,0.0,4,-0.0,-0.0,10#0.0
best1bin,11,1.0,71,-0.0,0.0,11#1.0
best1bin,11,0.9,136,0.0,0.0,11#0.9
best1bin,11,0.8,108,0.0,0.0,11#0.8
best1bin,11,0.7,88,0.0,0.0,11#0.7
best1bin,11,0.6,73,0.0,0.0,11#0.6
best1bin,11,0.5,61,0.0,0.0,11#0.5
best1bin,11,0.4,47,0.0,0.0,11#0.4
best1bin,11,0.3,6,0.95,-0.0,11#0.3
best1bin,11,0.2,43,-0.0,-0.0,11#0.2
best1bin,11,0.1,13,-0.0,-0.0,11#0.1
best1bin,11,0.0,2,0.27,0.33,11#0.0
best1bin,12,1.0,43,-0.0,-0.0,12#1.0
best1bin,12,0.9,138,0.0,0.0,12#0.9
best1bin,12,0.8,116,0.0,0.0,12#0.8
best1bin,12,0.7,94,0.0,0.0,12#0.7
best1bin,12,0.6,76,0.0,0.0,12#0.6
best1bin,12,0.5,63,0.0,0.0,12#0.5
best1bin,12,0.4,52,0.0,0.0,12#0.4
best1bin,12,0.3,36,0.0,0.0,12#0.3
best1bin,12,0.2,6,0.0,-0.95,12#0.2
best1bin,12,0.1,24,-0.0,-0.0,12#0.1
best1bin,12,0.0,2,1.0,-0.53,12#0.0
best1bin,13,1.0,39,0.0,-0.0,13#1.0
best1bin,13,0.9,129,0.0,0.0,13#0.9
best1bin,13,0.8,111,0.0,0.0,13#0.8
best1bin,13,0.7,95,0.0,0.0,13#0.7
best1bin,13,0.6,72,0.0,0.0,13#0.6
best1bin,13,0.5,59,0.0,0.0,13#0.5
best1bin,13,0.4,49,0.0,0.0,13#0.4
best1bin,13,0.3,36,0.0,0.0,13#0.3
best1bin,13,0.2,31,0.0,0.0,13#0.2
best1bin,13,0.1,5,0.0,0.95,13#0.1
best1bin,13,0.0,3,-0.0,0.0,13#0.0
best1bin,14,1.0,65,-0.0,-0.0,14#1.0
best1bin,14,0.9,136,0.0,0.0,14#0.9
best1bin,14,0.8,112,0.0,0.0,14#0.8
best1bin,14,0.7,85,0.0,0.0,14#0.7
best1bin,14,0.6,78,0.0,0.0,14#0.6
best1bin,14,0.5,59,0.0,0.0,14#0.5
best1bin,14,0.4,46,0.0,0.0,14#0.4
best1bin,14,0.3,39,0.0,0.0,14#0.3
best1bin,14,0.2,31,0.0,0.0,14#0.2
best1bin,14,0.1,24,0.0,0.0,14#0.1
best1bin,14,0.0,3,-0.97,-0.97,14#0.0
best1bin,15,1.0,138,0.0,0.0,15#1.0
best1bin,15,0.9,137,0.0,0.0,15#0.9
best1bin,15,0.8,104,0.0,0.0,15#0.8
best1bin,15,0.7,91,0.0,0.0,15#0.7
best1bin,15,0.6,77,0.0,0.0,15#0.6
best1bin,15,0.5,59,0.0,0.0,15#0.5
best1bin,15,0.4,46,0.0,0.0,15#0.4
best1bin,15,0.3,37,0.0,0.0,15#0.3
best1bin,15,0.2,28,0.0,0.0,15#0.2
best1bin,15,0.1,5,0.97,0.97,15#0.1
best1bin,15,0.0,3,0.97,-0.97,15#0.0
best1bin,16,1.0,162,0.0,0.0,16#1.0
best1bin,16,0.9,134,0.0,0.0,16#0.9
best1bin,16,0.8,112,0.0,0.0,16#0.8
best1bin,16,0.7,93,0.0,0.0,16#0.7
best1bin,16,0.6,75,0.0,0.0,16#0.6
best1bin,16,0.5,60,0.0,0.0,16#0.5
best1bin,16,0.4,44,0.0,0.0,16#0.4
best1bin,16,0.3,36,0.0,0.0,16#0.3
best1bin,16,0.2,28,0.0,0.0,16#0.2
best1bin,16,0.1,24,0.0,0.0,16#0.1
best1bin,16,0.0,3,-0.0,-0.0,16#0.0
best1bin,17,1.0,132,-0.0,0.0,17#1.0
best1bin,17,0.9,133,0.0,0.0,17#0.9
best1bin,17,0.8,107,0.0,0.0,17#0.8
best1bin,17,0.7,96,0.0,0.0,17#0.7
best1bin,17,0.6,77,0.0,0.0,17#0.6
best1bin,17,0.5,62,0.0,0.0,17#0.5
best1bin,17,0.4,45,0.0,0.0,17#0.4
best1bin,17,0.3,35,0.0,0.0,17#0.3
